# claude — a handwritten pipeline-stress / coverage suite.
#
# This suite is for *testing the pp2lp pipeline*, not for staying green.  It
# deliberately spans the whole rule space (every PP family) and the whole
# proof-size span (one-rule leaves → 200+-rule proofs), AND it probes the known
# frontier: set-equality / equality-congruence, arithmetic antisymmetry and
# double-negation (AR4/AR7/AR8), INS over rewritten hyps, NAT membership, and
# existential/quantifier shapes REPLAY mishandles.  Authored by hand, grouped by
# what each section tests.
#
# INVARIANT: every goal is a genuine theorem submitted to PP as the BARE goal —
# no hypotheses, no goal-as-hypothesis self-promotion.  PP proves it outright,
# closing the goal's free variables universally and inferring their types from
# context.  A goal PP cannot prove produces no .trace and is rejected at gen time
# (see the guardrail in gen_traces), so it does not belong here.  (Mind PP's
# parser: `<=>` binds tighter than `&`, and `=>` is left-associative —
# parenthesise accordingly, e.g. `(a & b) <=> (b & a)`, `x<=y => (y<=x => x=y)`.)
#
# Format: name | kind | goal
#   prop  — bare identifiers are propositional variables
#   expr  — bare identifiers are expression variables (sets / functions / ints)
#
# `goals.txt` is the source of truth — regenerate with `pp2lp gen claude`,
# check with `pp2lp run claude`.  Coverage notes (→ RULE) are intended targets;
# measure actual firings from the generated `.replay` files.  Some goals are
# theorems pp2lp cannot yet *translate* (Farkas, AR4/AR7/AR8, …); those fail at
# the lambdapi-check stage, not at PP — a signal about the pipeline frontier.

# ════════════════════════════════════════════════════════════════════════
# A. Propositional connectives — AND / OR / NOT, tiny → medium  (AND*, OR*, NOT*)
# ════════════════════════════════════════════════════════════════════════

# leaves (1–3 rules)

# identity / idempotence
p_imp_self        | prop | a => a
gx_negtwr16                | prop | not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(a)))))))))))))))) => a
gx_negtwr17                | prop | not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(a))))))))))))))))) => not(a)
gx_negtwr18                | prop | not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(a)))))))))))))))))) => a
gx_negtwr19                | prop | not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(a))))))))))))))))))) => not(a)
gx_negtwr20                | prop | not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(a)))))))))))))))))))) => a
gx_eqchain3                | expr | x1 = x2 & x2 = x3 => x1 = x3
gx_eqchain4                | expr | x1 = x2 & x2 = x3 & x3 = x4 => x1 = x4
gx_eqchain5                | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 => x1 = x5
gx_eqchain6                | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 => x1 = x6
gx_eqchain7                | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 => x1 = x7
gx_eqchain8                | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 => x1 = x8
gx_eqchain9                | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 => x1 = x9
gx_eqchain10               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 => x1 = x10
gx_eqchain11               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 => x1 = x11
gx_eqchain12               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 => x1 = x12
gx_eqchain13               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 => x1 = x13
gx_eqchain14               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 => x1 = x14
gx_eqchain15               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 => x1 = x15
gx_eqchain16               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 => x1 = x16
gx_eqchain17               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 => x1 = x17
gx_eqchain18               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 => x1 = x18
gx_eqchain19               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 => x1 = x19
gx_eqchain20               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 => x1 = x20
gx_eqchain21               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 & x20 = x21 => x1 = x21
gx_eqchain22               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 & x20 = x21 & x21 = x22 => x1 = x22
gx_eqchain23               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 & x20 = x21 & x21 = x22 & x22 = x23 => x1 = x23
gx_eqchain24               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 & x20 = x21 & x21 = x22 & x22 = x23 & x23 = x24 => x1 = x24
gx_eqchain25               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 & x20 = x21 & x21 = x22 & x22 = x23 & x23 = x24 & x24 = x25 => x1 = x25
gx_eqchain26               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 & x20 = x21 & x21 = x22 & x22 = x23 & x23 = x24 & x24 = x25 & x25 = x26 => x1 = x26
gx_eqchain27               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 & x20 = x21 & x21 = x22 & x22 = x23 & x23 = x24 & x24 = x25 & x25 = x26 & x26 = x27 => x1 = x27
gx_eqchain28               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 & x20 = x21 & x21 = x22 & x22 = x23 & x23 = x24 & x24 = x25 & x25 = x26 & x26 = x27 & x27 = x28 => x1 = x28
gx_eqchain29               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 & x20 = x21 & x21 = x22 & x22 = x23 & x23 = x24 & x24 = x25 & x25 = x26 & x26 = x27 & x27 = x28 & x28 = x29 => x1 = x29
gx_eqchain30               | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 & x17 = x18 & x18 = x19 & x19 = x20 & x20 = x21 & x21 = x22 & x22 = x23 & x23 = x24 & x24 = x25 & x25 = x26 & x26 = x27 & x27 = x28 & x28 = x29 & x29 = x30 => x1 = x30
gx_eqrev3                  | expr | x1 = x2 & x2 = x3 => x3 = x1
gx_eqrev4                  | expr | x1 = x2 & x2 = x3 & x3 = x4 => x4 = x1
gx_eqrev5                  | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 => x5 = x1
gx_eqrev6                  | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 => x6 = x1
gx_eqrev7                  | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 => x7 = x1
gx_eqrev8                  | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 => x8 = x1
gx_eqrev9                  | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 => x9 = x1
gx_eqrev10                 | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 => x10 = x1
gx_eqrev11                 | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 => x11 = x1
gx_eqrev12                 | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 => x12 = x1
gx_eqrev13                 | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 => x13 = x1
gx_eqrev14                 | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 => x14 = x1
gx_eqrev15                 | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 => x15 = x1
gx_eqrev16                 | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 => x16 = x1
gx_eqrev17                 | expr | x1 = x2 & x2 = x3 & x3 = x4 & x4 = x5 & x5 = x6 & x6 = x7 & x7 = x8 & x8 = x9 & x9 = x10 & x10 = x11 & x11 = x12 & x12 = x13 & x13 = x14 & x14 = x15 & x15 = x16 & x16 = x17 => x17 = x1
gx_fcong3                  | expr | x = y => h(g(f(x))) = h(g(f(y)))
gx_fcong4                  | expr | x = y => k(h(g(f(x)))) = k(h(g(f(y))))
gx_fcong5                  | expr | x = y => f(k(h(g(f(x))))) = f(k(h(g(f(y)))))
gx_fcong6                  | expr | x = y => g(f(k(h(g(f(x)))))) = g(f(k(h(g(f(y))))))
gx_fcong7                  | expr | x = y => h(g(f(k(h(g(f(x))))))) = h(g(f(k(h(g(f(y)))))))
gx_fcong8                  | expr | x = y => k(h(g(f(k(h(g(f(x)))))))) = k(h(g(f(k(h(g(f(y))))))))
gx_fcong9                  | expr | x = y => f(k(h(g(f(k(h(g(f(x))))))))) = f(k(h(g(f(k(h(g(f(y)))))))))
gx_fcong10                 | expr | x = y => g(f(k(h(g(f(k(h(g(f(x)))))))))) = g(f(k(h(g(f(k(h(g(f(y))))))))))
gx_fcong11                 | expr | x = y => h(g(f(k(h(g(f(k(h(g(f(x))))))))))) = h(g(f(k(h(g(f(k(h(g(f(y)))))))))))
gx_fcong12                 | expr | x = y => k(h(g(f(k(h(g(f(k(h(g(f(x)))))))))))) = k(h(g(f(k(h(g(f(k(h(g(f(y))))))))))))
gx_fcong13                 | expr | x = y => f(k(h(g(f(k(h(g(f(k(h(g(f(x))))))))))))) = f(k(h(g(f(k(h(g(f(k(h(g(f(y)))))))))))))
gx_fcong14                 | expr | x = y => g(f(k(h(g(f(k(h(g(f(k(h(g(f(x)))))))))))))) = g(f(k(h(g(f(k(h(g(f(k(h(g(f(y))))))))))))))
gx_fcong15                 | expr | x = y => h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x))))))))))))))) = h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y)))))))))))))))
gx_fcong16                 | expr | x = y => k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x)))))))))))))))) = k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y))))))))))))))))
gx_fcong17                 | expr | x = y => f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x))))))))))))))))) = f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y)))))))))))))))))
gx_fcong18                 | expr | x = y => g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x)))))))))))))))))) = g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y))))))))))))))))))
gx_fcong19                 | expr | x = y => h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x))))))))))))))))))) = h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y)))))))))))))))))))
gx_fcong20                 | expr | x = y => k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x)))))))))))))))))))) = k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y))))))))))))))))))))
gx_fcong21                 | expr | x = y => f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x))))))))))))))))))))) = f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y)))))))))))))))))))))
gx_fcong22                 | expr | x = y => g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x)))))))))))))))))))))) = g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y))))))))))))))))))))))
gx_fcong23                 | expr | x = y => h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x))))))))))))))))))))))) = h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y)))))))))))))))))))))))
gx_fcong24                 | expr | x = y => k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x)))))))))))))))))))))))) = k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y))))))))))))))))))))))))
gx_fcong25                 | expr | x = y => f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x))))))))))))))))))))))))) = f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y)))))))))))))))))))))))))
gx_fcong26                 | expr | x = y => g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x)))))))))))))))))))))))))) = g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y))))))))))))))))))))))))))
gx_fcong27                 | expr | x = y => h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x))))))))))))))))))))))))))) = h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y)))))))))))))))))))))))))))
gx_fcong28                 | expr | x = y => k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x)))))))))))))))))))))))))))) = k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y))))))))))))))))))))))))))))
gx_fcong29                 | expr | x = y => f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x))))))))))))))))))))))))))))) = f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y)))))))))))))))))))))))))))))
gx_fcong30                 | expr | x = y => g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(x)))))))))))))))))))))))))))))) = g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(k(h(g(f(y))))))))))))))))))))))))))))))
gx_fcong_a2p1              | expr | x = y => f(x, z2) = f(y, z2)
gx_fcong_a2p2              | expr | x = y => f(z1, x) = f(z1, y)
gx_fcong_a3p1              | expr | x = y => f(x, z2, z3) = f(y, z2, z3)
gx_fcong_a3p2              | expr | x = y => f(z1, x, z3) = f(z1, y, z3)
gx_fcong_a3p3              | expr | x = y => f(z1, z2, x) = f(z1, z2, y)
gx_fcong_a4p1              | expr | x = y => f(x, z2, z3, z4) = f(y, z2, z3, z4)
gx_fcong_a4p2              | expr | x = y => f(z1, x, z3, z4) = f(z1, y, z3, z4)
gx_fcong_a4p3              | expr | x = y => f(z1, z2, x, z4) = f(z1, z2, y, z4)
gx_fcong_a4p4              | expr | x = y => f(z1, z2, z3, x) = f(z1, z2, z3, y)
gx_fcong_a5p1              | expr | x = y => f(x, z2, z3, z4, z5) = f(y, z2, z3, z4, z5)
gx_fcong_a5p2              | expr | x = y => f(z1, x, z3, z4, z5) = f(z1, y, z3, z4, z5)
gx_fcong_a5p3              | expr | x = y => f(z1, z2, x, z4, z5) = f(z1, z2, y, z4, z5)
gx_fcong_a5p4              | expr | x = y => f(z1, z2, z3, x, z5) = f(z1, z2, z3, y, z5)
gx_fcong_a5p5              | expr | x = y => f(z1, z2, z3, z4, x) = f(z1, z2, z3, z4, y)
gx_fcong_a6p1              | expr | x = y => f(x, z2, z3, z4, z5, z6) = f(y, z2, z3, z4, z5, z6)
gx_fcong_a6p2              | expr | x = y => f(z1, x, z3, z4, z5, z6) = f(z1, y, z3, z4, z5, z6)
gx_fcong_a6p3              | expr | x = y => f(z1, z2, x, z4, z5, z6) = f(z1, z2, y, z4, z5, z6)
gx_fcong_a6p4              | expr | x = y => f(z1, z2, z3, x, z5, z6) = f(z1, z2, z3, y, z5, z6)
gx_fcong_a6p5              | expr | x = y => f(z1, z2, z3, z4, x, z6) = f(z1, z2, z3, z4, y, z6)
gx_fcong_a6p6              | expr | x = y => f(z1, z2, z3, z4, z5, x) = f(z1, z2, z3, z4, z5, y)
gx_subchain3               | expr | s1 <: s2 & s2 <: s3 => s1 <: s3
gx_subchain4               | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 => s1 <: s4
gx_subchain5               | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 => s1 <: s5
gx_subchain6               | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 => s1 <: s6
gx_subchain7               | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 => s1 <: s7
gx_subchain8               | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 => s1 <: s8
gx_subchain9               | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 => s1 <: s9
gx_subchain10              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 => s1 <: s10
gx_subchain11              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 => s1 <: s11
gx_subchain12              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 => s1 <: s12
gx_subchain13              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 => s1 <: s13
gx_subchain14              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 => s1 <: s14
gx_subchain15              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 => s1 <: s15
gx_subchain16              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 => s1 <: s16
gx_subchain17              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 & s16 <: s17 => s1 <: s17
gx_subchain18              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 & s16 <: s17 & s17 <: s18 => s1 <: s18
gx_subchain19              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 & s16 <: s17 & s17 <: s18 & s18 <: s19 => s1 <: s19
gx_subchain20              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 & s16 <: s17 & s17 <: s18 & s18 <: s19 & s19 <: s20 => s1 <: s20
gx_subchain21              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 & s16 <: s17 & s17 <: s18 & s18 <: s19 & s19 <: s20 & s20 <: s21 => s1 <: s21
gx_subchain22              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 & s16 <: s17 & s17 <: s18 & s18 <: s19 & s19 <: s20 & s20 <: s21 & s21 <: s22 => s1 <: s22
gx_subchain23              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 & s16 <: s17 & s17 <: s18 & s18 <: s19 & s19 <: s20 & s20 <: s21 & s21 <: s22 & s22 <: s23 => s1 <: s23
gx_subchain24              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 & s16 <: s17 & s17 <: s18 & s18 <: s19 & s19 <: s20 & s20 <: s21 & s21 <: s22 & s22 <: s23 & s23 <: s24 => s1 <: s24
gx_subchain25              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 & s16 <: s17 & s17 <: s18 & s18 <: s19 & s19 <: s20 & s20 <: s21 & s21 <: s22 & s22 <: s23 & s23 <: s24 & s24 <: s25 => s1 <: s25
gx_subchain26              | expr | s1 <: s2 & s2 <: s3 & s3 <: s4 & s4 <: s5 & s5 <: s6 & s6 <: s7 & s7 <: s8 & s8 <: s9 & s9 <: s10 & s10 <: s11 & s11 <: s12 & s12 <: s13 & s13 <: s14 & s14 <: s15 & s15 <: s16 & s16 <: s17 & s17 <: s18 & s18 <: s19 & s19 <: s20 & s20 <: s21 & s21 <: s22 & s22 <: s23 & s23 <: s24 & s24 <: s25 & s25 <: s26 => s1 <: s26
